FDIProj,Year,Source_country,Destination_country,Amount,Sector,Project_type,Ownership_final,Precision_final,Ancmtyear,Opyear_final,xcoord,ycoord
249781,2016,China,Ethiopia,350,Textiles,New,POE,9,2016,2018,39.25833,8.52635
249881,2016,China,Uganda,2.3,Consumer products,New,POE,1,U,2016,32.61256,0.31969
250405,2016,Hong Kong,Nigeria,11.3,Textiles,New,POE,3,,2016,9.16222,12.15399
250412,2016,Hong Kong,Nigeria,122.2,Real estate,New,POE,3,,U,9.16222,12.15399
250416,2016,Hong Kong,Nigeria,55.7,Food & tobacco,New,POE,3,,U,9.4895,12.42032
250418,2016,Hong Kong,Nigeria,55.7,Food & tobacco,New,POE,3,,C-2018,9.4895,12.42032
251109,2016,China,Mozambique,4000,Transportation,New,CS,6,,U,35.52956,-18.66569
251111,2016,China,South Africa,2000,Transportation,New,CS,6,,U,28.11227,-26.27076
251175,2013,China,Djibouti,46.15,Communications,New,CS,6,,2013,43.14565,11.57208
251178,2013,China,Egypt,92.3,Communications,New,CS,6,,2017,-77.40749,43.06423
251446,2016,China,Zimbabwe,0.03,Communications,New,POE,1,2016,2016,31.10794,-17.78931
253318,2016,China,Ghana,36.9,Communications,New,POE,1,U,2016,-0.18281,5.57369
253864,2016,China,Egypt,2.4,Consumer electronics,New,LS,7,,U,-77.40749,43.06423
254026,2016,China,Egypt,6.4,Communications,New,POE,1,U,2016,31.33881,30.07419
254779,2016,China,Egypt,27.2,Consumer electronics,New,POE,9,2016,2018,29.69646,30.93241
255212,2016,Hong Kong,Djibouti,197.1,Warehousing,New,CS,3,,2017,43.14256,11.60869
255576,2016,China,Egypt,58.6,Ceramics & glass,Expansion,CS,1,U,2016,32.31231,29.67181
255608,2016,China,South Africa,15.8,Electronic components,New,POE,1,U,2016,28.28062,-25.78361
255966,2016,China,Ethiopia,80,Pharmaceuticals,New,POE,3,,2017,37.97846,11.34942
256217,2016,China,Morocco,411,Real estate,New,POE,3,,U,-5.83395,35.75947
256429,2016,China,Ethiopia,864.9,Real estate,New,POE,3,,C-2018,39.25833,8.52635
256432,2016,China,Ethiopia,11.8,Electronic components,New,POE,9,2016,U,39.30606,8.51306
256517,2016,China,Togo,60.6,Non-automotive transport OEM,New,CS,3,,2016,1.1689,6.94632
256614,2016,China,Egypt,250,Business services,New,POE,3,,U,30.93819,31.11131
256615,2016,China,Egypt,250,Business services,New,POE,3,,U,31.14659,29.98917
256616,2016,China,Egypt,250,Business services,New,POE,3,,U,30.84285,29.3084
256619,2016,China,Egypt,250,Business services,New,POE,3,,U,30.84285,29.3084
256929,2016,Hong Kong,Nigeria,1734.3,"Coal, oil & gas",New,POE,4,,U,7.87216,4.92999
257727,2016,China,Morocco,15,Automotive components,New,PS,9,2016,2017,-6.37756,34.30594
258070,2016,China,South Africa,0.5,Communications,New,POE,1,U,2016,28.06906,-26.13169
258197,2016,China,Egypt,9.4,Communications,New,POE,1,2016,U,31.34556,30.05719
258661,2016,China,South Africa,11,Financial services,New,CS,1,U,2016,28.06281,-26.10106
258764,2016,China,Morocco,102.09,Automotive OEM,New,POE,3,,U,-5.83395,35.75947
258922,2016,China,Egypt,200.3,Renewable energy,New,POE,1,2016,2019,32.7171,24.44919
259189,2016,China,Republic of the Congo,6.8,Business services,New,CS,3,,U,15.24289,-4.26336
259191,2016,China,Mozambique,6.8,Business services,New,CS,3,,2016,32.60696,-25.95685
260231,2016,China,Ghana,11.8,Electronic components,New,POE,1,U,2016,0.11675,5.72471
260258,2016,China,Morocco,56.7019,Electronic components,New,POE,3,,U,-5.83395,35.75947
260261,2016,China,Morocco,10.3157,Industrial equipment,New,POE,7,,U,-7.09262,31.7917
260627,2016,China,Kenya,98.65,Building materials,New,PS,1,2016,2017,36.97981,-1.43269
260628,2016,China,Kenya,178.9,Metals,New,PS,3,,C-2017,39.90933,-3.51065
261343,2016,China,South Africa,33.7,Food & tobacco,New,POE,1,U,2016,28.09781,-25.83806
262190,2016,China,South Africa,6.4,Communications,New,POE,1,U,2016,28.06906,-26.13169
262350,2016,China,Ethiopia,138,Textiles,New,POE,1,U,2016,38.75776,8.9806
262359,2016,China,Kenya,2.9,Electronic components,New,CS,1,2016,2016,36.80606,-1.26417
